pclass,sex_male,sex_female,age,sibsp,parch,fare,embarked_C,embarked_S,embarked_Q,embarked_
3.0,1.0,0.0,26.5,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,1.0,0.0,25.85563232512949,0.0,0.0,7.8958,1.0,0.0,0.0,0.0
3.0,0.0,1.0,63.0,0.0,0.0,9.5875,0.0,1.0,0.0,0.0
3.0,1.0,0.0,26.0,0.0,0.0,7.775,0.0,1.0,0.0,0.0
3.0,1.0,0.0,44.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,22.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
1.0,1.0,0.0,21.0,0.0,1.0,61.3792,1.0,0.0,0.0,0.0
3.0,1.0,0.0,2.0,4.0,1.0,29.125,0.0,0.0,1.0,0.0
1.0,0.0,1.0,40.0,0.0,0.0,153.4625,0.0,1.0,0.0,0.0
2.0,0.0,1.0,19.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.0,1.0,0.0,14.4542,1.0,0.0,0.0,0.0
3.0,1.0,0.0,44.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,47.0,0.0,0.0,7.25,0.0,1.0,0.0,0.0
1.0,0.0,1.0,38.0,0.0,0.0,227.525,1.0,0.0,0.0,0.0
1.0,0.0,1.0,30.0,0.0,0.0,93.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,11.5,1.0,1.0,14.5,0.0,1.0,0.0,0.0
1.0,1.0,0.0,23.0,0.0,1.0,63.3583,1.0,0.0,0.0,0.0
2.0,0.0,1.0,18.0,0.0,2.0,13.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,40.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,14.002355711045787,3.0,1.0,25.4667,0.0,1.0,0.0,0.0
2.0,0.0,1.0,48.0,1.0,2.0,65.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,35.0,0.0,0.0,512.3292,1.0,0.0,0.0,0.0
2.0,1.0,0.0,3.0,1.0,1.0,18.75,0.0,1.0,0.0,0.0
3.0,1.0,0.0,16.0,0.0,0.0,9.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.0,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,0.0,1.0,24.644325457527373,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,14.0,0.0,0.0,9.225,0.0,1.0,0.0,0.0
2.0,1.0,0.0,33.15746940415001,0.0,0.0,15.05,1.0,0.0,0.0,0.0
2.0,1.0,0.0,34.0,1.0,0.0,21.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,-0.397277622196718,8.0,2.0,69.55,0.0,1.0,0.0,0.0
2.0,1.0,0.0,19.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,50.0,0.0,1.0,26.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,50.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.23236864662961,0.0,0.0,7.75,0.0,0.0,1.0,0.0
2.0,1.0,0.0,34.83068861216602,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.0,1.0,0.0,16.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,35.0,0.0,0.0,7.05,0.0,1.0,0.0,0.0
2.0,1.0,0.0,39.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.226472298588437,0.0,0.0,6.95,0.0,0.0,1.0,0.0
1.0,0.0,1.0,48.0,1.0,3.0,262.375,1.0,0.0,0.0,0.0
3.0,1.0,0.0,17.0,1.0,1.0,7.2292,1.0,0.0,0.0,0.0
3.0,0.0,1.0,10.0,5.0,2.0,46.9,0.0,1.0,0.0,0.0
2.0,0.0,1.0,40.0,0.0,0.0,15.75,0.0,1.0,0.0,0.0
3.0,1.0,0.0,42.0,0.0,0.0,8.6625,0.0,1.0,0.0,0.0
3.0,0.0,1.0,5.0,0.0,0.0,12.475,0.0,1.0,0.0,0.0
1.0,1.0,0.0,45.0,1.0,1.0,134.5,1.0,0.0,0.0,0.0
3.0,1.0,0.0,32.0,0.0,0.0,7.925,0.0,1.0,0.0,0.0
3.0,0.0,1.0,18.0,0.0,0.0,7.8792,0.0,0.0,1.0,0.0
1.0,1.0,0.0,26.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,46.0,0.0,0.0,79.2,1.0,0.0,0.0,0.0
3.0,0.0,1.0,31.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.0,0.0,0.0,7.65,0.0,1.0,0.0,0.0
3.0,1.0,0.0,17.0,0.0,0.0,7.125,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.85068823729697,0.0,0.0,7.225,1.0,0.0,0.0,0.0
2.0,0.0,1.0,24.0,2.0,3.0,18.75,0.0,1.0,0.0,0.0
1.0,0.0,1.0,18.0,1.0,0.0,227.525,1.0,0.0,0.0,0.0
3.0,0.0,1.0,19.14609686952314,1.0,1.0,22.3583,1.0,0.0,0.0,0.0
3.0,0.0,1.0,23.81750403688493,1.0,0.0,15.5,0.0,0.0,1.0,0.0
3.0,0.0,1.0,15.0,0.0,0.0,8.0292,0.0,0.0,1.0,0.0
3.0,1.0,0.0,33.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,35.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,0.0,1.0,22.224927596240924,0.0,2.0,15.2458,1.0,0.0,0.0,0.0
3.0,0.0,1.0,35.0,0.0,0.0,7.75,0.0,0.0,1.0,0.0
1.0,1.0,0.0,58.0,0.0,2.0,113.275,1.0,0.0,0.0,0.0
2.0,1.0,0.0,41.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,16.998943355273376,3.0,1.0,25.4667,0.0,1.0,0.0,0.0
1.0,0.0,1.0,63.0,1.0,0.0,77.9583,0.0,1.0,0.0,0.0
3.0,1.0,0.0,19.0,0.0,0.0,7.775,0.0,1.0,0.0,0.0
1.0,0.0,1.0,53.0,0.0,0.0,27.4458,1.0,0.0,0.0,0.0
2.0,1.0,0.0,8.0,0.0,2.0,32.5,0.0,1.0,0.0,0.0
1.0,0.0,1.0,54.0,1.0,0.0,59.4,1.0,0.0,0.0,0.0
2.0,1.0,0.0,39.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,22.42860296798879,1.0,0.0,14.4583,1.0,0.0,0.0,0.0
1.0,0.0,1.0,64.0,1.0,1.0,26.55,0.0,1.0,0.0,0.0
1.0,0.0,1.0,62.0,0.0,0.0,80.0,0.0,0.0,0.0,1.0
3.0,1.0,0.0,27.639776580670027,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,48.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0
3.0,1.0,0.0,42.0,0.0,0.0,7.55,0.0,1.0,0.0,0.0
3.0,0.0,1.0,24.0,1.0,0.0,15.85,0.0,1.0,0.0,0.0
2.0,1.0,0.0,34.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
2.0,1.0,0.0,49.0,1.0,2.0,65.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,59.0,2.0,0.0,51.4792,0.0,1.0,0.0,0.0
3.0,1.0,0.0,3.0,4.0,2.0,31.3875,0.0,1.0,0.0,0.0
1.0,0.0,1.0,31.0,1.0,0.0,113.275,1.0,0.0,0.0,0.0
3.0,1.0,0.0,27.64091310175496,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.233320906838255,0.0,0.0,7.8792,0.0,0.0,1.0,0.0
1.0,0.0,1.0,36.0,0.0,0.0,31.6792,1.0,0.0,0.0,0.0
2.0,1.0,0.0,40.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,60.0,1.0,0.0,75.25,1.0,0.0,0.0,0.0
2.0,1.0,0.0,2.0,1.0,1.0,26.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,41.0,0.0,2.0,20.2125,0.0,1.0,0.0,0.0
1.0,1.0,0.0,30.0,1.0,2.0,151.55,0.0,1.0,0.0,0.0
3.0,1.0,0.0,32.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,24.224847266753308,1.0,0.0,16.1,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.85068823729697,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,1.0,0.0,27.63888623211581,0.0,0.0,7.775,0.0,1.0,0.0,0.0
1.0,0.0,1.0,37.503378580947825,0.0,0.0,27.7208,1.0,0.0,0.0,0.0
3.0,0.0,1.0,26.0,1.0,1.0,22.025,0.0,1.0,0.0,0.0
3.0,0.0,1.0,22.0,0.0,0.0,10.5167,0.0,1.0,0.0,0.0
1.0,1.0,0.0,30.0,0.0,0.0,27.75,1.0,0.0,0.0,0.0
3.0,1.0,0.0,25.85068823729697,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,1.0,0.0,26.0,0.0,0.0,7.775,0.0,1.0,0.0,0.0
3.0,0.0,1.0,23.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,0.0,1.0,-3.3938652664243065,8.0,2.0,69.55,0.0,1.0,0.0,0.0
3.0,1.0,0.0,24.0,0.0,0.0,7.1417,0.0,1.0,0.0,0.0
3.0,0.0,1.0,27.236733262610667,0.0,0.0,7.8792,0.0,0.0,1.0,0.0
1.0,0.0,1.0,58.0,0.0,0.0,146.5208,1.0,0.0,0.0,0.0
3.0,0.0,1.0,18.0,0.0,0.0,7.2292,1.0,0.0,0.0,0.0
3.0,1.0,0.0,60.5,0.0,0.0,-0.43361370363830076,0.0,1.0,0.0,0.0
3.0,0.0,1.0,45.0,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,1.0,0.0,18.0,1.0,1.0,20.2125,0.0,1.0,0.0,0.0
3.0,1.0,0.0,26.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,14.0,5.0,2.0,46.9,0.0,1.0,0.0,0.0
1.0,1.0,0.0,40.514553790229265,0.0,0.0,29.7,1.0,0.0,0.0,0.0
1.0,0.0,1.0,42.0,0.0,0.0,227.525,1.0,0.0,0.0,0.0
3.0,1.0,0.0,26.81409168111252,1.0,0.0,15.5,0.0,0.0,1.0,0.0
1.0,1.0,0.0,33.0,0.0,0.0,26.55,0.0,1.0,0.0,0.0
1.0,0.0,1.0,29.0,0.0,0.0,211.3375,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.63888623211581,0.0,0.0,7.775,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.5,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,0.0,1.0,11.0,4.0,2.0,31.275,0.0,1.0,0.0,0.0
3.0,0.0,1.0,28.0,1.0,1.0,14.4,0.0,1.0,0.0,0.0
3.0,0.0,1.0,25.0,1.0,0.0,7.925,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.289489518278444,0.0,0.0,15.5,0.0,0.0,1.0,0.0
2.0,0.0,1.0,44.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,20.0,0.0,0.0,7.225,1.0,0.0,0.0,0.0
2.0,1.0,0.0,36.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,17.0,0.0,0.0,8.6625,0.0,1.0,0.0,0.0
2.0,1.0,0.0,3.0,1.0,1.0,26.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,21.0,0.0,1.0,21.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,32.0,0.0,0.0,7.925,0.0,1.0,0.0,0.0
3.0,1.0,0.0,13.0,4.0,2.0,31.3875,0.0,1.0,0.0,0.0
1.0,1.0,0.0,42.27087465345053,0.0,0.0,25.925,0.0,1.0,0.0,0.0
3.0,1.0,0.0,24.0,0.0,0.0,7.7958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,15.0,1.0,1.0,7.2292,1.0,0.0,0.0,0.0
2.0,1.0,0.0,14.0,0.0,0.0,65.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.85068823729697,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,1.0,0.0,34.5,0.0,0.0,6.4375,1.0,0.0,0.0,0.0
1.0,1.0,0.0,70.0,1.0,1.0,71.0,0.0,1.0,0.0,0.0
3.0,0.0,1.0,33.0,1.0,2.0,20.575,0.0,1.0,0.0,0.0
2.0,1.0,0.0,18.0,0.0,0.0,11.5,0.0,1.0,0.0,0.0
1.0,1.0,0.0,27.0,0.0,0.0,76.7292,1.0,0.0,0.0,0.0
3.0,0.0,1.0,1.0,1.0,1.0,16.7,0.0,1.0,0.0,0.0
2.0,1.0,0.0,24.0,2.0,0.0,31.5,0.0,1.0,0.0,0.0
2.0,0.0,1.0,34.0,0.0,1.0,23.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.64091310175496,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,0.0,1.0,30.0,0.0,0.0,8.6625,0.0,1.0,0.0,0.0
1.0,1.0,0.0,49.0,1.0,0.0,89.1042,1.0,0.0,0.0,0.0
1.0,0.0,1.0,51.0,1.0,0.0,77.9583,0.0,1.0,0.0,0.0
3.0,0.0,1.0,27.0,0.0,0.0,7.925,0.0,1.0,0.0,0.0
2.0,1.0,0.0,32.0,2.0,0.0,73.5,0.0,1.0,0.0,0.0
1.0,1.0,0.0,42.0,0.0,0.0,26.55,0.0,1.0,0.0,0.0
3.0,1.0,0.0,18.0,0.0,0.0,8.6625,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.85071919312419,0.0,0.0,7.2292,1.0,0.0,0.0,0.0
3.0,1.0,0.0,32.5,0.0,0.0,9.5,0.0,1.0,0.0,0.0
3.0,0.0,1.0,27.235781002402017,0.0,0.0,7.75,0.0,0.0,1.0,0.0
3.0,1.0,0.0,9.0,1.0,1.0,15.9,0.0,1.0,0.0,0.0
3.0,1.0,0.0,28.0,1.0,0.0,15.85,0.0,1.0,0.0,0.0
3.0,0.0,1.0,2.0,0.0,1.0,12.2875,0.0,1.0,0.0,0.0
2.0,1.0,0.0,21.0,1.0,0.0,11.5,0.0,1.0,0.0,0.0
1.0,1.0,0.0,55.0,0.0,0.0,30.5,0.0,1.0,0.0,0.0
2.0,1.0,0.0,29.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.64137375394568,0.0,0.0,8.1125,0.0,1.0,0.0,0.0
3.0,1.0,0.0,18.0,2.0,2.0,34.375,0.0,1.0,0.0,0.0
3.0,1.0,0.0,18.0,0.0,0.0,7.75,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.645796014976554,0.0,0.0,8.7125,0.0,1.0,0.0,0.0
1.0,1.0,0.0,42.337761351542554,0.0,0.0,35.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,38.0,1.0,0.0,90.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,50.0,1.0,1.0,211.5,1.0,0.0,0.0,0.0
3.0,1.0,0.0,39.0,0.0,1.0,13.4167,1.0,0.0,0.0,0.0
1.0,0.0,1.0,48.0,0.0,0.0,25.9292,0.0,1.0,0.0,0.0
3.0,0.0,1.0,20.39922707136784,2.0,0.0,23.25,0.0,0.0,1.0,0.0
2.0,1.0,0.0,24.0,2.0,0.0,73.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.232245560364248,0.0,0.0,7.7333,0.0,0.0,1.0,0.0
3.0,1.0,0.0,30.0,0.0,0.0,7.2292,1.0,0.0,0.0,0.0
3.0,0.0,1.0,19.0,1.0,0.0,7.8542,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.639776580670027,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,7.0,1.0,1.0,15.2458,1.0,0.0,0.0,0.0
1.0,1.0,0.0,45.0,0.0,0.0,35.5,0.0,1.0,0.0,0.0
2.0,1.0,0.0,30.0,0.0,0.0,12.7375,1.0,0.0,0.0,0.0
2.0,0.0,1.0,31.0,1.0,1.0,26.25,0.0,1.0,0.0,0.0
3.0,1.0,0.0,24.0,0.0,0.0,7.25,0.0,0.0,1.0,0.0
3.0,1.0,0.0,25.0,0.0,0.0,7.65,0.0,1.0,0.0,0.0
3.0,1.0,0.0,28.0,0.0,0.0,22.525,0.0,1.0,0.0,0.0
3.0,1.0,0.0,21.0,1.0,0.0,6.4958,0.0,1.0,0.0,0.0
2.0,1.0,0.0,33.16136983837924,0.0,0.0,15.5792,1.0,0.0,0.0,0.0
1.0,1.0,0.0,50.0,1.0,0.0,55.9,0.0,1.0,0.0,0.0
3.0,1.0,0.0,20.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0
3.0,0.0,1.0,18.0,0.0,0.0,6.75,0.0,0.0,1.0,0.0
3.0,1.0,0.0,40.5,0.0,2.0,14.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,26.0,0.0,0.0,56.4958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,20.0,1.0,1.0,15.7417,1.0,0.0,0.0,0.0
3.0,0.0,1.0,29.0,1.0,1.0,10.4625,0.0,1.0,0.0,0.0
3.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,39.0,0.0,0.0,108.9,1.0,0.0,0.0,0.0
1.0,0.0,1.0,58.0,0.0,0.0,26.55,0.0,1.0,0.0,0.0
1.0,1.0,0.0,42.30459439381097,0.0,0.0,30.5,0.0,1.0,0.0,0.0
3.0,0.0,1.0,24.0,0.0,0.0,8.85,0.0,1.0,0.0,0.0
3.0,0.0,1.0,22.854100593069383,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,0.0,1.0,27.235781002402017,0.0,0.0,7.75,0.0,0.0,1.0,0.0
2.0,1.0,0.0,42.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,24.0,1.0,0.0,27.7208,1.0,0.0,0.0,0.0
3.0,1.0,0.0,25.0,0.0,0.0,7.925,0.0,1.0,0.0,0.0
3.0,0.0,1.0,38.0,0.0,0.0,7.2292,1.0,0.0,0.0,0.0
3.0,0.0,1.0,19.431985104977493,1.0,0.0,14.4542,1.0,0.0,0.0,0.0
3.0,0.0,1.0,26.0,0.0,0.0,7.8542,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.23218438575332,0.0,0.0,7.725,0.0,0.0,1.0,0.0
3.0,0.0,1.0,14.002355711045787,3.0,1.0,25.4667,0.0,1.0,0.0,0.0
1.0,1.0,0.0,36.0,0.0,0.0,26.3875,0.0,1.0,0.0,0.0
3.0,0.0,1.0,30.0,0.0,0.0,6.95,0.0,0.0,1.0,0.0
3.0,1.0,0.0,27.0,0.0,0.0,7.225,1.0,0.0,0.0,0.0
3.0,1.0,0.0,17.0,1.0,0.0,7.0542,0.0,1.0,0.0,0.0
3.0,0.0,1.0,26.547491220112786,0.0,2.0,7.75,0.0,0.0,1.0,0.0
3.0,0.0,1.0,27.235781002402017,0.0,0.0,7.75,0.0,0.0,1.0,0.0
3.0,0.0,1.0,20.39922707136784,2.0,0.0,23.25,0.0,0.0,1.0,0.0
1.0,0.0,1.0,19.0,1.0,0.0,91.0792,1.0,0.0,0.0,0.0
2.0,0.0,1.0,30.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
1.0,1.0,0.0,37.0,1.0,0.0,53.1,0.0,1.0,0.0,0.0
2.0,0.0,1.0,45.0,0.0,0.0,13.5,0.0,1.0,0.0,0.0
3.0,1.0,0.0,33.0,1.0,1.0,20.525,0.0,1.0,0.0,0.0
2.0,0.0,1.0,36.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,1.0,1.0,2.0,41.5792,1.0,0.0,0.0,0.0
3.0,1.0,0.0,19.00642630528597,2.0,0.0,21.6792,1.0,0.0,0.0,0.0
1.0,0.0,1.0,19.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,28.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,37.0,2.0,0.0,7.925,0.0,1.0,0.0,0.0
3.0,1.0,0.0,28.0,0.0,0.0,7.8958,0.0,1.0,0.0,0.0
3.0,0.0,1.0,27.0,0.0,1.0,12.475,0.0,1.0,0.0,0.0
3.0,1.0,0.0,51.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0
3.0,1.0,0.0,17.0,2.0,0.0,8.05,0.0,1.0,0.0,0.0
1.0,1.0,0.0,37.0,1.0,1.0,52.5542,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.633174144950925,0.0,0.0,7.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,27.0,0.0,0.0,7.7958,0.0,1.0,0.0,0.0
3.0,1.0,0.0,30.23236864662961,0.0,0.0,7.75,0.0,0.0,1.0,0.0
3.0,1.0,0.0,25.0,0.0,0.0,7.7417,0.0,0.0,1.0,0.0
1.0,1.0,0.0,18.0,1.0,0.0,108.9,1.0,0.0,0.0,0.0
2.0,0.0,1.0,48.0,0.0,2.0,36.75,0.0,1.0,0.0,0.0
2.0,0.0,1.0,28.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
3.0,1.0,0.0,28.0,0.0,0.0,7.7958,0.0,1.0,0.0,0.0
2.0,1.0,0.0,52.0,0.0,0.0,13.5,0.0,1.0,0.0,0.0
3.0,0.0,1.0,2.0,3.0,2.0,27.9,0.0,1.0,0.0,0.0
1.0,0.0,1.0,16.0,0.0,0.0,86.5,0.0,1.0,0.0,0.0
3.0,0.0,1.0,38.0,4.0,2.0,7.775,0.0,1.0,0.0,0.0
1.0,0.0,1.0,35.0,1.0,0.0,90.0,0.0,1.0,0.0,0.0
